Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Buffer_Length,Queue_Length,Entities_System
26058.072412794067,NEXT_ARRIVAL,26013.342252229493,26058.072412794067,218856.39512609455,12963.370339192606,0,0,4
26076.83436589403,NEXT_ARRIVAL,26058.072412794067,26076.83436589403,219738.20692179224,13057.180104692416,0,0,5
26088.653195749805,NEXT_ARRIVAL,26076.83436589403,26088.653195749805,220281.87309515744,13128.093083827072,0,0,6
26095.85020173221,END_SERVICE,25901.57253572626,26095.85020173221,220605.73836436518,13178.47212570391,0,0,7
26111.976399155814,END_SERVICE,25951.94605710237,26111.976399155814,221347.5434458513,13275.229310245533,0,0,6
26143.389386443203,END_SERVICE,26088.653195749805,26143.389386443203,222823.9538483586,13432.294246682479,0,0,5
26162.172097100025,END_SERVICE,26013.342252229493,26162.172097100025,223725.5239598857,13507.425089309767,0,0,4
26188.663351316955,END_SERVICE,26076.83436589403,26188.663351316955,225023.59541651543,13586.898851960555,0,0,3
26221.734403383278,END_SERVICE,25965.57860016207,26221.734403383278,226677.14801983105,13653.040956093202,0,0,2
26233.629550481302,NEXT_ARRIVAL,26088.653195749805,26233.629550481302,227283.8005218303,13664.936103191227,0,0,1
26259.272371682047,END_SERVICE,26058.072412794067,26259.272371682047,228565.94158186755,13716.221745592717,0,0,2
26267.463736481837,NEXT_ARRIVAL,26233.629550481302,26267.463736481837,228983.7011866574,13724.413110392506,0,0,1
26282.192208455293,NEXT_ARRIVAL,26267.463736481837,26282.192208455293,229720.12478532965,13753.870054339419,0,0,2
26302.4177204557,END_SERVICE,26282.192208455293,26302.4177204557,230711.17487334984,13814.546590340644,0,0,3
26310.790169068063,NEXT_ARRIVAL,26282.192208455293,26310.790169068063,231129.79730396753,13831.291487565366,0,0,2
26333.299673356214,END_SERVICE,26267.463736481837,26333.299673356214,232232.76301408658,13898.82000042982,0,0,3
26370.59865716138,NEXT_ARRIVAL,26310.790169068063,26370.59865716138,234097.7122043452,13973.41796804015,0,0,2
26380.53285218887,NEXT_ARRIVAL,26370.59865716138,26380.53285218887,234584.48776069187,14003.220553122621,0,0,3
26384.02632816985,NEXT_ARRIVAL,26380.53285218887,26384.02632816985,234752.1746077784,14017.194457046542,0,0,4
26391.778093382803,END_SERVICE,26380.53285218887,26391.778093382803,235116.50757278688,14055.95328311131,0,0,5
26399.347446212614,END_SERVICE,26310.790169068063,26399.347446212614,235479.83650861727,14086.230694430553,0,0,4
26414.364745747862,NEXT_ARRIVAL,26384.02632816985,26414.364745747862,236215.6841858444,14131.282593036296,0,0,3
26437.368393064226,END_SERVICE,26233.629550481302,26437.368393064226,237319.85925702986,14223.29718230175,0,0,4
26476.915894927664,END_SERVICE,26370.59865716138,26476.915894927664,239257.68684833872,14341.939687892067,0,0,3
