Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Queue_Length,Entities_System
27647.418220852232,END_SERVICE,27476.442564019602,27647.418220852232,294555.3617862871,19910.38569802596,0,6
27665.44050181503,END_SERVICE,27561.591724922506,27665.44050181503,295402.40899153816,20000.497102839938,0,5
27683.229553856232,NEXT_ARRIVAL,27611.64823666454,27683.229553856232,296256.28348951525,20071.653311004753,0,4
27688.606984198777,END_SERVICE,27550.074411210953,27688.606984198777,296509.0227156149,20098.54046271748,0,5
27709.48504492658,NEXT_ARRIVAL,27623.121174105338,27709.48504492658,297511.1696305487,20182.05270562869,0,4
27714.17613819594,END_SERVICE,27683.229553856232,27714.17613819594,297731.65101420984,20205.508171975493,0,5
27722.954128346686,NEXT_ARRIVAL,27017.875239746114,27722.954128346686,298152.99454144493,20240.620132578475,0,4
27756.75783681396,NEXT_ARRIVAL,27535.486740091,27756.75783681396,299741.76883940725,20409.638674914837,0,5
27765.404036535623,END_SERVICE,27623.121174105338,27765.404036535623,300139.494026604,20461.515873244825,0,6
27785.514863122095,NEXT_ARRIVAL,27756.75783681396,27785.514863122095,301084.702876169,20562.070006177182,0,5
27804.463939887362,END_SERVICE,27535.486740091,27804.463939887362,301956.36040737166,20675.76446676879,0,6
27837.619878681755,END_SERVICE,27611.64823666454,27837.619878681755,303514.6895307071,20841.544160740752,0,5
27840.753400551814,NEXT_ARRIVAL,27198.118820464042,27840.753400551814,303665.0985804704,20854.078248220987,0,4
27851.063831900712,END_SERVICE,27756.75783681396,27851.063831900712,304149.6888538695,20905.63040496548,0,5
27859.421908765667,NEXT_ARRIVAL,27840.753400551814,27859.421908765667,304550.87654338806,20939.0627124253,0,4
27863.329615043403,NEXT_ARRIVAL,27859.421908765667,27863.329615043403,304734.53873844165,20958.60124381398,0,5
27875.36682120033,NEXT_ARRIVAL,27785.514863122095,27875.36682120033,305288.2502216607,21030.82448075553,0,6
27881.028345963095,END_SERVICE,27840.753400551814,27881.028345963095,305543.0188359844,21070.4551540949,0,7
27896.938021032875,NEXT_ARRIVAL,27550.074411210953,27896.938021032875,306274.8638891949,21165.913204513574,0,6
